from,to
https://www.class-central.com/mooc/372/coursera-introduction-to-operations-management,https://www.class-central.com/mooc/1751/coursera-analyzing-global-trends-for-business-and-society
https://www.class-central.com/mooc/372/coursera-introduction-to-operations-management,https://www.class-central.com/mooc/497/coursera-exercise-physiology-understanding-the-athlete-within
https://www.class-central.com/mooc/372/coursera-introduction-to-operations-management,https://www.class-central.com/mooc/710/coursera-inspiring-leadership-through-emotional-intelligence
https://www.class-central.com/mooc/372/coursera-introduction-to-operations-management,https://www.class-central.com/mooc/2752/coursera-managerial-accounting-tools-for-facilitating-and-guiding-business-decisions
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/372/coursera-introduction-to-operations-management
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/1372/coursera-globalization-of-business-enterprise
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/2728/coursera-initiating-and-planning-projects
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/2730/coursera-managing-project-risks-and-changes
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/714/coursera-critical-perspectives-on-management
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/706/coursera-competitive-strategy
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/1751/coursera-analyzing-global-trends-for-business-and-society
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/497/coursera-exercise-physiology-understanding-the-athlete-within
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/710/coursera-inspiring-leadership-through-emotional-intelligence
https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management,https://www.class-central.com/mooc/2752/coursera-managerial-accounting-tools-for-facilitating-and-guiding-business-decisions
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/372/coursera-introduction-to-operations-management
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/2720/coursera-fundamentals-of-management
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/1372/coursera-globalization-of-business-enterprise
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/2728/coursera-initiating-and-planning-projects
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/2730/coursera-managing-project-risks-and-changes
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/714/coursera-critical-perspectives-on-management
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/706/coursera-competitive-strategy
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/1751/coursera-analyzing-global-trends-for-business-and-society
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/497/coursera-exercise-physiology-understanding-the-athlete-within
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/710/coursera-inspiring-leadership-through-emotional-intelligence
https://www.class-central.com/mooc/2782/coursera-project-management-the-basics-for-success,https://www.class-central.com/mooc/2752/coursera-managerial-accounting-tools-for-facilitating-and-guiding-business-decisions
https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life,https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management
https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life,https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world
https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life,https://www.class-central.com/mooc/1372/coursera-globalization-of-business-enterprise
https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life,https://www.class-central.com/mooc/2728/coursera-initiating-and-planning-projects
https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life,https://www.class-central.com/mooc/2730/coursera-managing-project-risks-and-changes
https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life,https://www.class-central.com/mooc/714/coursera-critical-perspectives-on-management
https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life,https://www.class-central.com/mooc/706/coursera-competitive-strategy
https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life,https://www.class-central.com/mooc/1751/coursera-analyzing-global-trends-for-business-and-society
https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life,https://www.class-central.com/mooc/497/coursera-exercise-physiology-understanding-the-athlete-within
https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life,https://www.class-central.com/mooc/710/coursera-inspiring-leadership-through-emotional-intelligence
https://www.class-central.com/mooc/1844/coursera-better-leader-richer-life,https://www.class-central.com/mooc/2752/coursera-managerial-accounting-tools-for-facilitating-and-guiding-business-decisions
https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management,https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world
https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management,https://www.class-central.com/mooc/1372/coursera-globalization-of-business-enterprise
https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management,https://www.class-central.com/mooc/2728/coursera-initiating-and-planning-projects
https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management,https://www.class-central.com/mooc/2730/coursera-managing-project-risks-and-changes
https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management,https://www.class-central.com/mooc/714/coursera-critical-perspectives-on-management
https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management,https://www.class-central.com/mooc/706/coursera-competitive-strategy
https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management,https://www.class-central.com/mooc/1751/coursera-analyzing-global-trends-for-business-and-society
https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management,https://www.class-central.com/mooc/497/coursera-exercise-physiology-understanding-the-athlete-within
https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management,https://www.class-central.com/mooc/710/coursera-inspiring-leadership-through-emotional-intelligence
https://www.class-central.com/mooc/3292/coursera-fundamentals-of-project-planning-and-management,https://www.class-central.com/mooc/2752/coursera-managerial-accounting-tools-for-facilitating-and-guiding-business-decisions
https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,https://www.class-central.com/mooc/1372/coursera-globalization-of-business-enterprise
https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,https://www.class-central.com/mooc/2728/coursera-initiating-and-planning-projects
https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,https://www.class-central.com/mooc/2730/coursera-managing-project-risks-and-changes
https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,https://www.class-central.com/mooc/714/coursera-critical-perspectives-on-management
https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,https://www.class-central.com/mooc/706/coursera-competitive-strategy
https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,https://www.class-central.com/mooc/1751/coursera-analyzing-global-trends-for-business-and-society
https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,https://www.class-central.com/mooc/497/coursera-exercise-physiology-understanding-the-athlete-within
https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,https://www.class-central.com/mooc/710/coursera-inspiring-leadership-through-emotional-intelligence
https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world,https://www.class-central.com/mooc/2752/coursera-managerial-accounting-tools-for-facilitating-and-guiding-business-decisions
https://www.class-central.com/mooc/1372/coursera-globalization-of-business-enterprise,https://www.class-central.com/mooc/2750/coursera-marketing-in-a-digital-world
https://www.class-central.com/mooc/1372/coursera-globalization-of-business-enterprise,https://www.class-central.com/mooc/2728/coursera-initiating-and-planning-projects
